url	title	indirizzo	keyword_ristorante	ranking	total_ranking	company	macro_area	orario_apertura	new_title	lat	lng	google_address	place_id	distanza	distanza_value	distanza_text	quantile
https://deliveroo.it/menu/milano/porta-romana/casa-del-gelato?day=today&geohash=u0nd8be8xnqv&time=ASAP	Casa Del Gelato	Via della Commenda 25 Milano 20122	Pasticceria_Gelateria	4.4	18 	delivero	Porta Romana	Aperti fino alle 21:00	casa del gelato	45.4570017	9.1993212	Via della Commenda, 25, 20122 Milano MI, Italy	ChIJu3T_BB7EhkcRpJT2_jLN6A4	{'text': '3.8 km', 'value': 3825}	3.8	3825	3_long
https://www.ubereats.com/milano/food-delivery/kungfu-bao-2/kobbGDFcSJygnexxp_Jc5A	Kungfu Bao 2	11 Via Giosuè Carducci Milano 20123	Cinese	4.4		uber			kungfu bao 2	45.4661873	9.1761986	Via Giosuè Carducci, 11, 20123 Milano MI, Italy	ChIJu48bzJ_BhkcRwOITACZWjoM	{'text': '3.6 km', 'value': 3608}	3.6	3608	3_long
https://www.ubereats.com/milano/food-delivery/smart-market/DipN3UiCSgKaz06zv6T5pA	Smart Market	Viale Bligny 43 20136 Milano Mi Italia	Healthy	4.4		uber			smart market	45.45108690000001	9.1957608	Viale Bligny, 43, 20136 Milano MI, Italy	ChIJu9dLuBvEhkcRfyJ8jwc5hXg	{'text': '2.2 km', 'value': 2157}	2.2	2157	2_average
https://www.ubereats.com/milano/food-delivery/poke-away-duomo/W4GflCpPSoelKiadzuXTog	Poke Away - Duomo	Via Santa Tecla 5 Milano Lombardia 20122	Healthy	4.4		uber			poke away duomo	45.4627417	9.193368399999999	Via Santa Tecla, 5, 20122 Milano MI, Italy	ChIJuTI0F2zHhkcRUuh6fOh7s7E	{'text': '4.0 km', 'value': 3965}	4.0	3965	4_far
https://deliveroo.it/menu/milano/ticinese/gelateria-km-0-navigli?day=today&geohash=u0nd8be8xnqv&time=1330	Gelateria Kmzero	Via Teuliè 2 Milano 20136	Pasticceria_Gelateria	4.6	50+ 	delivero	Ticinese	Aperti fino alle 23:00	gelateria kmzero	45.4516206	9.1864323	Piazzale di Porta Lodovica, 6, 20136 Milano MI, Italy	ChIJuTJYOgTEhkcRogf_vVO7rAA	{'text': '1.5 km', 'value': 1530}	1.5	1530	1_short
https://www.ubereats.com/milano/food-delivery/ocean-break/xmOIWORVRMWrrQ77MLeQqg	Ocean Break	Viale Montenero 39 Milano 20135	Hamburger	4.7	(15)	uber			ocean break	45.4570302	9.205032899999999	Viale Monte Nero, 39, 20135 Milano MI, Italy	ChIJuWQpaDjHhkcRjUaDI_BW9-w	{'text': '3.5 km', 'value': 3468}	3.5	3468	3_long
https://www.ubereats.com/milano/food-delivery/giass-gelati/keWi3qH0SAujVECcAKAEgQ	Giass Gelati	Via Giorgio Washington 60 Milano 20146	Pasticceria_Gelateria	4.7		uber			giass gelati	45.46189469999999	9.1546924	Via Giorgio Washington, 60, 20146 Milano MI, Italy	ChIJuYZqayrBhkcRKiD291pOb50	{'text': '3.7 km', 'value': 3672}	3.7	3672	3_long
https://www.ubereats.com/milano/food-delivery/penny-lane-bar/2kaxJUYvQ1ikrO1L4JYKRw	Penny Lane Bar	Viale Liguria 35 Milano 20143	Healthy	4.7		uber			penny lane bar	45.4439966	9.1736846	Viale Liguria, 35, 20143 Milano MI, Italy	ChIJueuRNvTDhkcRZc5nMS9PahM	{'text': '0.8 km', 'value': 784}	0.8	784	1_short
https://www.ubereats.com/milano/food-delivery/thats-vapore-porta-vittoria/wlsiJZtPSCGVFnxPxspMzQ	That's Vapore - Porta Vittoria	Corso Di Porta Vittoria 5 Milano Lombardia 20122	Healthy	4.3	(21)	uber			that s vapore porta vittoria	45.4627577	9.1979711	Corso di Porta Vittoria, 5, 20145 Milano MI, Italy	ChIJuf3ILaTGhkcRUDf-IdrbUVo	{'text': '5.3 km', 'value': 5298}	5.3	5298	4_far
https://www.ubereats.com/milano/food-delivery/not-only-pulled-pork/v900sd3hQGOa--VsuRKMJw	Not Only Pulled Pork	Via Orti 7 Milano 20122	Hamburger	4.3		uber			not only pulled pork	45.4549765	9.1990219	Via Orti, 7, 20122 Milano MI, Italy	ChIJufJNYh7EhkcRCnveawuVJvo	{'text': '3.1 km', 'value': 3146}	3.1	3146	3_long
